Kategorie ;Karte 1;Karte 2;Hand;Wkeit ;Bed. Wkeit
über;11;11;22;0.031578947;0.136363636
über;11;10;21;0.042105263;0.181818182
über;10;11;21;0.042105263;0.181818182
über;11;9;20;0.042105263;0.181818182
über;10;10;20;0.031578947;0.136363636
über;9;11;20;0.042105263;0.181818182
hoch;11;8;19;0.042105263;0.25
hoch;10;9;19;0.042105263;0.25
hoch;8;11;19;0.042105263;0.25
hoch;9;10;19;0.042105263;0.25
mittel;11;7;18;0.042105263;0.114285714
mittel;10;8;18;0.042105263;0.114285714
mittel;9;9;18;0.031578947;0.085714286
mittel;7;11;18;0.042105263;0.114285714
mittel;8;10;18;0.042105263;0.114285714
mittel;10;7;17;0.042105263;0.114285714
mittel;9;8;17;0.042105263;0.114285714
mittel;8;9;17;0.042105263;0.114285714
mittel;7;10;17;0.042105263;0.114285714
tief;9;7;16;0.042105263;0.181818182
tief;8;8;16;0.031578947;0.136363636
tief;7;9;16;0.042105263;0.181818182
tief;8;7;15;0.042105263;0.181818182
tief;7;8;15;0.042105263;0.181818182
tief;7;7;14;0.031578947;0.136363636
